"-- None","-- Geen"
"-- none","-- geen"
"Each store view will have their own Channable feed. Use the auto connect button to connect the Feed with your Channable account.","Er wordt voor elk winkelzicht een eigen feed gegenereerd. Gebruik de auto connect link om de feed met Channable te koppelen."
"Add Attribute","Attribuut toevoegen"
"Always Use Parent Data","Altijd data gebruiken bovenliggende product"
"Add Option","Optie toevoegen"
"The Additional Fields","Extra velden"
"Attribute","Attribuut"
"Brand","Merk"
"Based on product price","Gebaseerd op productprijs"
"Based on product weight","Gebaseerd op productgewicht"
"Channable Connect","Channable Connect"
"Color","Kleur"
"Country","Land"
"Category","Category"
"Configurable Switch Urls","Configureerbare product URLs"
"Name","Naam"
"Connector Code","Connector Code"
"Configurable & Grouped data linkage","Product data voor gegroepeerde en geconfigureerde producten"
"cost","Kosten"
"Click to auto connect with Channable","Klik hier om direct te koppelen met Channable"
"Create a specific url for the simple products inside the configurable products to make sure the prices and information is correct.","Maak een specifieke URL voor de simpele producten binnen een configureerbaar product om direct naar de juiste informatie te linken."
"Data Selection","Data selectie"
"Delivery Time","Levertijd"
"Delivery Time for In Stock","Levertijd - op voorraad"
"Delivery Time for Out of Stock","Levertijd - uit voorraad"
"Delivery Time for The Netherlands","Levertijd - Nederland"
"Delivery Time for Belgium","Levertijd - Belgie"
"Description","Omschrijving"
"EAN-code","EAN-code"
"Exclude Products by Stock level","Sluit producten uit op basis van de voorraad"
"Enabled","Ingeschakeld"
"Grouped Price","Gegroepeerde prijs"
"Enabled Feed","Geactiveerde Feed"
"Exclude the out of stock products","Sluit uit voorraad producten uit"
"Exclude Products on Stock level","Producten uitsluiten op basis van voorraad"
"Extra Fields","Extra velden"
"Feeds - Available","Feeds - Beschikbaar"
"Filter based on Category","Filter op categorieën"
"Force the Tax Usage","Forceer BTW gebruik"
"Gender","Geslacht"
"General - Settings","Algemeen - Instellingen"
"The General Fields","Algemene velden"
"Limits the amount of product Channable will import per run. This setting wil not limit the total products sent to Channable!","Limiteer het aantal producten voor de import naar Channable per run. Deze setting heeft geen invloed op het importeren van het totaal aantal producten naar Channable."
"Licence","Licentie"
"License Key","Licentie code"
"Magento Attribute","Magento attribuut"
"Magmodules","Magmodules"
"Manually Add the Tax","Manueel BTW toevoegen"
"Material","Materiaal"
"Products - Configurable Products","Product - Configureerbaar product"
"Price from","Prijs vanaf"
"Price to","Prijs tot"
"Products per page","Producten per pagina"
"Products - Data","Product - Data"
"Products - Data Extra fields & Shipping","Product - Data extra velden & verzending"
"Products per feed","Producten per feed"
"Price Customization","Prijs aanpassingen"
"SKU","SKU"
"Set the configurable products to your needs with the option to always use the parent data from the product inside the configurable product, only when the data is not available (as a fallback) or to use the simple product data anytime.","Stel de configureerbare producten in naar wens. Dit is mogelijk door de optie te gebruiken welke altijd de bovenliggende productinformatie pakt, de optie met de fallback welke enkel de bovenliggende productinformatie pakt indien er geen informatie beschikbaar is of de optie om altijd de simpel product informatie te pakken."
"Send Status","Stuur status"
"Send Stock Level","Stuur voorraadniveau"
"Server Name","Servernaam"
"Shipping Calculation method","Verzendkosten berekenmethode"
"The Shipping Price","Verzendkosten"
"Settings","Instellingen"
"Shipping Price","Verzendkosten"
"Size","Maat"
"Static","Static"
"Stock","Voorraad"
"Default Image","Standaard afbeelding"
"Strip Tags","Strip Tags"
"Fill in a valid Channable Connector code and set a product limit to your Feed whenever you want this, use 0 to export all your products into the Channable Feed. You can also enable or disable the Feed generation on certain Store Views.","Vul een geldige Channable Connector code en stel een product limiet in per Feed. Indien u alle producten wenst te exporteren naar de Channable Feed kunt u 0 gebruiken. Het is mogelijk om de feed generatie in of uit te schakelen op winkelniveau."
"Text","Tekst"
"Use default price","Gebruik standaard prijs"
"Use minimum price","Gebruik minimale prijs"
"Use maximum price","Gebruik maximale prijs"
"Use total price","Gebruik totale prijs"
"Use Attribute","Gebruik attribuut"
"Include the Weight Field","Gebruik het gewicht veld"
"Include by category","Invoegen van categorie"
